Code,Name,perc_desocup,perc_female
AR-C,Autonomous City of Buenos Aires,6.29,53.36
AR-B,Buenos Aires ,8.11,51.56
AR-K,Catamarca ,8.58,51.43
AR-X,Cordoba,10.74,52.06
AR-W,Corrientes ,6.59,51.99
AR-H,Chaco ,0.58,51.77
AR-U,Chubut ,4.83,49.11
AR-E,Entre Rios,3.59,52.17
AR-P,Formosa,4,50.3
AR-Y,Jujuy ,6.43,51.67
AR-L,La Pampa ,4.1,51.47
AR-F,La Rioja ,4.73,50.8
AR-M,Mendoza ,4.84,51.35
AR-N,Misiones ,2.87,51.87
AR-Q,Neuquen ,7.7,50.63
AR-R,Rio Negro,4.1,51.05
AR-A,Salta ,8.52,51.71
AR-J,San Juan ,6.39,51.69
AR-D,San Luis ,2.97,51.07
AR-Z,Santa Cruz ,5.65,49.58
AR-S,Santa Fe ,9.43,51.56
AR-G,Santiago del Estero ,5.42,51.77
AR-T,Tucuman ,5.47,51.87
AR-V,Tierra del Fuego ,8.99,48.98
FK ,Malvinas,3,50
