Aglomerado,perc_desocup,perc_desocup_note,perc_female,Criteria ID,Code,Name,Name_orig,Canonical Name,Parent ID ,Country Code,Target Type,Status
CABA                                   ,6.29,,53.36,20010,AR-C,Autonomous City of Buenos Aires,Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires,Argentina",2032,AR,Province,Active
BUENOS AIRES                           ,8.11,gran la plata,51.56,20009,AR-B,Buenos Aires ,Buenos Aires Province,"Buenos Aires Province,Argentina",2032,AR,Province,Active
CATAMARCA                              ,8.58,,51.43,20015,AR-K,Catamarca ,Catamarca Province,"Catamarca Province,Argentina",2032,AR,Province,Active
CORDOBA                                ,10.74,gran cordoba,52.06,20026,AR-X,Cordoba,Cordoba,"Cordoba,Argentina",2032,AR,Province,Active
CORRIENTES                             ,6.59,,51.99,20025,AR-W,Corrientes ,Corrientes Province,"Corrientes Province,Argentina",2032,AR,Province,Active
CHACO                                  ,0.58,,51.77,20013,AR-H,Chaco ,Chaco Province,"Chaco Province,Argentina",2032,AR,Province,Active
CHUBUT                                 ,4.83,comodoro rivadavia,49.11,20023,AR-U,Chubut ,Chubut Province,"Chubut Province,Argentina",2032,AR,Province,Active
ENTRE RIOS                             ,3.59,parana,52.17,20011,AR-E,Entre Rios,Entre Rios,"Entre Rios,Argentina",2032,AR,Province,Active
FORMOSA,4,,50.3,21299,AR-P,Formosa,Formosa Province,Formosa Province Argentina,2032,AR ,Province,Active
JUJUY                                  ,6.43,,51.67,20027,AR-Y,Jujuy ,Jujuy Province,"Jujuy Province,Argentina",2032,AR,Province,Active
LA PAMPA                               ,4.1,,51.47,20016,AR-L,La Pampa ,La Pampa Province,"La Pampa Province,Argentina",2032,AR,Province,Active
LA RIOJA                               ,4.73,,50.8,20012,AR-F,La Rioja ,La Rioja Province,"La Rioja Province,Argentina",2032,AR,Province,Active
MENDOZA                                ,4.84,,51.35,20017,AR-M,Mendoza ,Mendoza Province,"Mendoza Province,Argentina",2032,AR,Province,Active
MISIONES                               ,2.87,,51.87,20018,AR-N,Misiones ,Misiones Province,"Misiones Province,Argentina",2032,AR,Province,Active
NEUQUEN                                ,7.7,,50.63,20019,AR-Q,Neuquen ,Neuquen Province,"Neuquen Province,Argentina",2032,AR,Province,Active
RIO NEGRO                              ,4.1,vidma,51.05,20020,AR-R,Rio Negro,Rio Negro Province,"Rio Negro Province,Argentina",2032,AR,Province,Active
SALTA                                  ,8.52,,51.71,20008,AR-A,Salta ,Salta Province,"Salta Province,Argentina",2032,AR,Province,Active
SAN JUAN                               ,6.39,,51.69,20014,AR-J,San Juan ,San Juan Province,"San Juan Province,Argentina",2032,AR,Province,Active
SAN LUIS                               ,2.97,,51.07,21297,AR-D,San Luis ,San Luis Province,"San Luis Province,Argentina",2032,AR,Province,Active
SANTA CRUZ                             ,5.65,rio gallegos,49.58,20028,AR-Z,Santa Cruz ,Santa Cruz Province,"Santa Cruz Province,Argentina",2032,AR,Province,Active
SANTA FE                               ,9.43,gran rosario,51.56,20021,AR-S,Santa Fe ,Santa Fe Province,"Santa Fe Province,Argentina",2032,AR,Province,Active
SANTIAGO DEL ESTERO                    ,5.42,,51.77,21298,AR-G,Santiago del Estero ,Santiago del Estero Province,"Santiago del Estero Province,Argentina",2032,AR,Province,Active
TUCUMAN                                ,5.47,,51.87,20022,AR-T,Tucuman ,Tucuman,"Tucuman,Argentina",2032,AR,Province,Active
"TIERRA DEL FUEGO, ANTARTIDA ARGENTINA E",8.99,,48.98,20024,AR-V,Tierra del Fuego ,Tierra del Fuego Province,"Tierra del Fuego Province,Argentina",2032,AR,Province,Active
,3,,50,,FK ,Malvinas,,,,,,
